level,vineyard_id,row_id,block_count,row_count,row_length_m,canopy_area_m2,canopy_area_ha,interrow_area_m2,interrow_area_ha,plant_count,row_structure
row,V01,V01-R014,,,46.85,,,,,2,regular
row,V01,V01-R015,,,66.34,,,,,22,disrupted
row,V01,V01-R016,,,55.28,,,,,7,disrupted
row,V01,V01-R017,,,65.45,,,,,17,disrupted
row,V01,V01-R018,,,51.02,,,,,10,regular
row,V01,V01-R019,,,75.03,,,,,12,disrupted
row,V01,V01-R020,,,55.35,,,,,9,regular
row,V01,V01-R021,,,80.65,,,,,15,disrupted
row,V01,V01-R022,,,55.33,,,,,12,regular
row,V01,V01-R023,,,14.20,,,,,5,regular
row,V01,V01-R024,,,71.98,,,,,19,regular
row,V01,V01-R025,,,55.24,,,,,14,regular
row,V01,V01-R026,,,19.64,,,,,4,regular
row,V01,V01-R027,,,55.23,,,,,19,regular
row,V01,V01-R028,,,70.80,,,,,13,regular
row,V01,V01-R029,,,97.64,,,,,31,disrupted
row,V01,V01-R030,,,55.34,,,,,16,regular
row,V01,V01-R031,,,108.66,,,,,36,regular
row,V01,V01-R032,,,55.30,,,,,19,regular
row,V01,V01-R033,,,167.95,,,,,56,disrupted
row,V01,V01-R034,,,105.61,,,,,28,regular
row,V01,V01-R035,,,74.70,,,,,25,regular
row,V01,V01-R036,,,55.38,,,,,7,regular
row,V01,V01-R037,,,17.92,,,,,9,regular
row,V01,V01-R038,,,55.23,,,,,18,regular
row,V01,V01-R039,,,55.69,,,,,6,regular
row,V01,V01-R040,,,16.02,,,,,1,regular
row,V01,V01-R041,,,45.92,,,,,8,regular
row,V01,V01-R042,,,55.56,,,,,3,regular
row,V01,V01-R043,,,12.07,,,,,2,regular
row,V01,V01-R044,,,9.49,,,,,1,regular
row,V01,V01-R045,,,40.90,,,,,10,regular
row,V01,V01-R046,,,16.72,,,,,5,regular
row,V01,V01-R047,,,55.55,,,,,3,regular
row,V01,V01-R048,,,2.69,,,,,1,regular
row,V01,V01-R049,,,55.67,,,,,6,regular
row,V01,V01-R050,,,55.35,,,,,4,regular
row,V01,V01-R051,,,55.26,,,,,6,regular
row,V01,V01-R052,,,55.63,,,,,16,regular
row,V01,V01-R053,,,19.01,,,,,6,regular
row,V01,V01-R054,,,37.27,,,,,3,regular
row,V01,V01-R055,,,111.02,,,,,37,regular
row,V01,V01-R056,,,144.48,,,,,40,disrupted
row,V01,V01-R057,,,21.87,,,,,5,regular
row,V01,V01-R058,,,166.10,,,,,43,disrupted
row,V01,V01-R059,,,110.98,,,,,15,regular
row,V01,V01-R060,,,60.30,,,,,19,regular
row,V01,V01-R061,,,177.48,,,,,43,regular
row,V01,V01-R062,,,184.73,,,,,46,regular
row,V01,V01-R063,,,54.10,,,,,6,regular
row,V01,V01-R064,,,136.30,,,,,46,regular
row,V01,V01-R065,,,198.85,,,,,45,regular
row,V01,V01-R066,,,203.49,,,,,40,regular
row,V01,V01-R067,,,207.83,,,,,31,disrupted
row,V01,V01-R068,,,84.83,,,,,24,regular
row,V01,V01-R069,,,45.92,,,,,2,regular
row,V01,V01-R070,,,39.27,,,,,8,disrupted
row,V01,V01-R071,,,43.58,,,,,7,regular
row,V01,V01-R072,,,125.32,,,,,34,disrupted
row,V01,V01-R073,,,200.27,,,,,45,disrupted
row,V01,V01-R074,,,203.33,,,,,45,disrupted
row,V01,V01-R075,,,91.03,,,,,13,regular
row,V01,V01-R076,,,50.45,,,,,21,regular
row,V01,V01-R077,,,55.29,,,,,12,disrupted
row,V01,V01-R078,,,7.06,,,,,3,regular
row,V01,V01-R079,,,110.68,,,,,16,regular
row,V01,V01-R080,,,55.21,,,,,11,disrupted
row,V01,V01-R081,,,33.02,,,,,8,regular
row,V01,V01-R082,,,55.53,,,,,14,regular
row,V01,V01-R083,,,55.45,,,,,16,regular
row,V01,V01-R084,,,55.28,,,,,11,disrupted
row,V01,V01-R085,,,31.57,,,,,7,regular
row,V01,V01-R086,,,85.96,,,,,18,regular
row,V01,V01-R087,,,110.66,,,,,34,regular
row,V01,V01-R088,,,139.27,,,,,34,regular
row,V01,V01-R089,,,40.99,,,,,11,regular
row,V01,V01-R090,,,69.37,,,,,21,regular
row,V01,V01-R091,,,27.23,,,,,6,disrupted
row,V01,V01-R092,,,110.61,,,,,36,regular
row,V01,V01-R093,,,25.69,,,,,4,regular
row,V01,V01-R094,,,110.20,,,,,26,regular
row,V01,V01-R095,,,24.13,,,,,10,regular
row,V01,V01-R096,,,110.50,,,,,32,disrupted
row,V01,V01-R097,,,22.60,,,,,4,disrupted
row,V01,V01-R098,,,110.50,,,,,39,disrupted
row,V01,V01-R099,,,21.06,,,,,3,disrupted
row,V01,V01-R100,,,110.50,,,,,29,disrupted
row,V01,V01-R101,,,17.97,,,,,4,regular
row,V01,V01-R102,,,110.59,,,,,14,regular
row,V01,V01-R103,,,24.80,,,,,5,regular
row,V01,V01-R104,,,110.67,,,,,23,regular
row,V01,V01-R105,,,30.30,,,,,4,regular
row,V01,V01-R106,,,19.83,,,,,5,disrupted
row,V01,V01-R107,,,110.68,,,,,26,regular
row,V01,V01-R108,,,14.22,,,,,4,regular
row,V01,V01-R109,,,27.07,,,,,4,regular
row,V01,V01-R110,,,110.75,,,,,23,regular
row,V01,V01-R111,,,34.04,,,,,5,regular
row,V01,V01-R112,,,13.00,,,,,5,regular
row,V01,V01-R113,,,113.42,,,,,26,regular
row,V01,V01-R114,,,110.81,,,,,27,regular
row,V01,V01-R115,,,54.27,,,,,12,disrupted
row,V01,V01-R116,,,55.20,,,,,10,regular
row,V01,V01-R117,,,122.88,,,,,29,regular
row,V01,V01-R118,,,121.45,,,,,20,regular
row,V01,V01-R119,,,61.02,,,,,14,regular
row,V01,V01-R120,,,181.11,,,,,37,disrupted
row,V01,V01-R121,,,174.17,,,,,42,disrupted
row,V01,V01-R122,,,184.39,,,,,39,regular
row,V01,V01-R123,,,177.44,,,,,42,regular
row,V01,V01-R124,,,54.22,,,,,5,regular
row,V01,V01-R125,,,110.66,,,,,24,regular
row,V01,V01-R126,,,153.10,,,,,37,disrupted
row,V01,V01-R127,,,171.14,,,,,28,disrupted
row,V01,V01-R128,,,170.18,,,,,19,regular
row,V01,V01-R129,,,6.73,,,,,0,disrupted
row,V01,V01-R130,,,43.78,,,,,9,regular
row,V01,V01-R131,,,124.34,,,,,6,regular
row,V01,V01-R132,,,110.73,,,,,5,regular
row,V01,V01-R133,,,41.85,,,,,1,regular
row,V01,V01-R134,,,20.87,,,,,6,regular
row,V01,V01-R135,,,94.58,,,,,8,disrupted
row,V01,V01-R136,,,55.18,,,,,3,regular
row,V01,V01-R137,,,38.12,,,,,2,regular
row,V01,V01-R138,,,39.34,,,,,0,disrupted
row,V01,V01-R139,,,55.41,,,,,6,disrupted
row,V01,V01-R140,,,41.90,,,,,0,disrupted
row,V01,V01-R141,,,44.87,,,,,8,disrupted
row,V01,V01-R142,,,40.35,,,,,1,disrupted
row,V01,V01-R143,,,33.79,,,,,5,disrupted
row,V01,V01-R144,,,55.30,,,,,1,disrupted
row,V01,V01-R145,,,48.23,,,,,0,disrupted
row,V01,V01-R146,,,51.48,,,,,9,disrupted
row,V01,V01-R147,,,55.21,,,,,0,disrupted
row,V01,V01-R148,,,55.42,,,,,10,disrupted
row,V01,V01-R149,,,47.49,,,,,1,disrupted
row,V01,V01-R150,,,44.67,,,,,11,disrupted
row,V01,V01-R151,,,47.98,,,,,5,disrupted
row,V01,V01-R152,,,46.77,,,,,0,disrupted
row,V01,V01-R153,,,47.17,,,,,5,disrupted
row,V01,V01-R154,,,40.42,,,,,1,disrupted
row,V01,V01-R155,,,51.63,,,,,0,disrupted
row,V01,V01-R156,,,37.87,,,,,6,disrupted
row,V01,V01-R157,,,48.68,,,,,0,disrupted
row,V01,V01-R158,,,25.21,,,,,6,disrupted
row,V01,V01-R159,,,50.71,,,,,0,disrupted
row,V01,V01-R160,,,28.53,,,,,7,disrupted
row,V01,V01-R161,,,52.01,,,,,1,disrupted
row,V01,V01-R162,,,19.48,,,,,3,disrupted
row,V01,V01-R163,,,54.91,,,,,3,disrupted
row,V01,V01-R164,,,55.14,,,,,0,disrupted
row,V01,V01-R165,,,8.90,,,,,2,regular
row,V01,V01-R166,,,48.11,,,,,0,disrupted
row,V01,V01-R167,,,53.23,,,,,1,disrupted
row,V01,V01-R168,,,36.20,,,,,0,disrupted
row,V01,V01-R169,,,33.22,,,,,0,disrupted
row,V01,V01-R170,,,29.32,,,,,0,disrupted
row,V01,V01-R171,,,17.27,,,,,0,disrupted
row,V02,V02-R001,,,14.74,,,,,1,regular
row,V02,V02-R002,,,18.46,,,,,2,regular
row,V02,V02-R003,,,24.28,,,,,4,regular
row,V02,V02-R004,,,37.11,,,,,4,regular
row,V03,V03-R001,,,21.43,,,,,1,disrupted
row,V03,V03-R002,,,34.32,,,,,9,disrupted
row,V03,V03-R003,,,40.96,,,,,16,regular
row,V03,V03-R004,,,47.28,,,,,17,regular
row,V03,V03-R005,,,53.61,,,,,23,regular
row,V03,V03-R006,,,60.31,,,,,22,regular
row,V03,V03-R007,,,66.87,,,,,17,regular
row,V03,V03-R008,,,73.23,,,,,33,regular
row,V03,V03-R009,,,46.84,,,,,8,regular
row,V03,V03-R010,,,79.68,,,,,35,regular
row,V03,V03-R011,,,86.21,,,,,38,regular
row,V03,V03-R012,,,53.96,,,,,6,regular
row,V03,V03-R013,,,122.89,,,,,32,regular
row,V03,V03-R014,,,5.90,,,,,3,regular
row,V03,V03-R015,,,55.26,,,,,23,regular
row,V03,V03-R016,,,61.84,,,,,10,regular
row,V03,V03-R017,,,122.37,,,,,30,disrupted
row,V03,V03-R018,,,76.74,,,,,34,regular
row,V03,V03-R019,,,92.47,,,,,38,regular
row,V03,V03-R020,,,43.28,,,,,6,disrupted
row,V03,V03-R021,,,108.95,,,,,45,regular
row,V03,V03-R022,,,98.95,,,,,26,disrupted
row,V03,V03-R023,,,106.49,,,,,20,regular
row,V03,V03-R024,,,69.08,,,,,28,regular
row,V03,V03-R025,,,61.20,,,,,17,regular
row,V03,V03-R026,,,61.27,,,,,26,regular
row,V03,V03-R027,,,105.83,,,,,24,disrupted
row,V03,V03-R028,,,16.61,,,,,2,regular
row,V03,V03-R029,,,46.14,,,,,21,regular
row,V03,V03-R030,,,61.39,,,,,18,regular
row,V03,V03-R031,,,11.90,,,,,2,regular
row,V03,V03-R032,,,108.49,,,,,38,regular
row,V03,V03-R033,,,6.90,,,,,4,regular
row,V03,V03-R034,,,113.00,,,,,34,regular
row,V03,V03-R035,,,108.13,,,,,36,regular
row,V03,V03-R036,,,7.21,,,,,1,regular
row,V03,V03-R037,,,103.32,,,,,42,regular
row,V03,V03-R038,,,11.95,,,,,2,regular
row,V03,V03-R039,,,43.96,,,,,0,regular
row,V03,V03-R040,,,111.14,,,,,6,regular
row,V03,V03-R041,,,117.64,,,,,10,regular
row,V03,V03-R042,,,124.40,,,,,8,regular
row,V03,V03-R043,,,61.12,,,,,8,regular
row,V03,V03-R044,,,61.38,,,,,5,regular
row,V03,V03-R045,,,122.39,,,,,12,regular
row,V03,V03-R046,,,122.47,,,,,13,regular
row,V03,V03-R047,,,4.38,,,,,1,regular
row,V03,V03-R048,,,61.45,,,,,5,regular
row,V03,V03-R049,,,57.40,,,,,4,regular
row,V03,V03-R050,,,122.34,,,,,15,regular
row,V03,V03-R051,,,122.28,,,,,16,regular
row,V03,V03-R052,,,109.28,,,,,32,regular
row,V03,V03-R053,,,107.26,,,,,23,disrupted
row,V03,V03-R054,,,99.16,,,,,32,regular
row,V03,V03-R055,,,25.28,,,,,7,regular
row,V03,V03-R056,,,35.71,,,,,10,regular
row,V03,V03-R057,,,25.19,,,,,9,regular
row,V03,V03-R058,,,19.05,,,,,5,regular
row,V03,V03-R059,,,64.82,,,,,16,regular
row,V03,V03-R060,,,47.93,,,,,10,disrupted
row,V03,V03-R061,,,47.78,,,,,10,regular
row,V03,V03-R062,,,1.52,,,,,1,regular
row,V04,V04-R001,,,53.59,,,,,7,regular
row,V04,V04-R002,,,53.62,,,,,5,regular
row,V04,V04-R003,,,53.64,,,,,1,regular
row,V05,V05-R001,,,59.43,,,,,2,regular
row,V05,V05-R002,,,58.36,,,,,6,regular
row,V05,V05-R003,,,59.46,,,,,5,regular
row,V05,V05-R004,,,59.42,,,,,12,regular
row,V06,V06-R001,,,52.92,,,,,11,disrupted
row,V06,V06-R002,,,52.99,,,,,15,regular
row,V06,V06-R003,,,49.65,,,,,11,disrupted
row,V06,V06-R004,,,40.84,,,,,11,regular
row,V07,V07-R001,,,14.24,,,,,4,regular
row,V07,V07-R002,,,7.78,,,,,2,regular
row,V07,V07-R003,,,1.93,,,,,1,regular
row,V08,V08-R001,,,43.18,,,,,14,disrupted
row,V08,V08-R002,,,37.86,,,,,8,disrupted
row,V08,V08-R003,,,31.97,,,,,4,disrupted
row,V08,V08-R004,,,21.63,,,,,1,disrupted
row,V08,V08-R005,,,22.68,,,,,1,disrupted
row,V08,V08-R006,,,11.55,,,,,1,disrupted
row,V09,V09-R001,,,22.13,,,,,4,regular
row,V09,V09-R002,,,27.03,,,,,6,regular
row,V09,V09-R003,,,34.46,,,,,3,regular
row,V09,V09-R004,,,37.90,,,,,3,regular
row,V09,V09-R005,,,49.53,,,,,3,disrupted
row,V10,V10-R001,,,16.99,,,,,1,disrupted
row,V10,V10-R002,,,22.88,,,,,4,regular
row,V10,V10-R003,,,22.01,,,,,3,regular
row,V10,V10-R004,,,24.76,,,,,2,regular
row,V11,V11-R001,,,51.13,,,,,3,regular
row,V11,V11-R002,,,47.30,,,,,6,regular
row,V11,V11-R003,,,49.62,,,,,11,disrupted
row,V12,V12-R001,,,7.10,,,,,2,regular
row,V12,V12-R002,,,142.60,,,,,46,disrupted
row,V12,V12-R003,,,148.29,,,,,57,disrupted
row,V12,V12-R004,,,153.92,,,,,62,regular
row,V12,V12-R005,,,159.68,,,,,68,regular
row,V12,V12-R006,,,36.34,,,,,13,regular
row,V12,V12-R007,,,131.84,,,,,50,disrupted
row,V12,V12-R008,,,216.37,,,,,85,disrupted
row,V12,V12-R009,,,214.89,,,,,99,disrupted
row,V12,V12-R010,,,226.94,,,,,84,disrupted
row,V12,V12-R011,,,59.83,,,,,23,regular
row,V12,V12-R012,,,172.16,,,,,66,disrupted
row,V12,V12-R013,,,236.05,,,,,93,disrupted
row,V12,V12-R014,,,234.61,,,,,95,disrupted
row,V12,V12-R015,,,193.69,,,,,81,disrupted
row,V12,V12-R016,,,39.24,,,,,15,regular
row,V12,V12-R017,,,129.26,,,,,49,disrupted
row,V12,V12-R018,,,99.44,,,,,41,regular
row,V12,V12-R019,,,99.47,,,,,41,regular
row,V12,V12-R020,,,129.14,,,,,31,disrupted
row,V12,V12-R021,,,10.00,,,,,1,regular
row,V12,V12-R022,,,222.57,,,,,73,disrupted
row,V12,V12-R023,,,217.25,,,,,67,disrupted
row,V12,V12-R024,,,128.62,,,,,43,disrupted
row,V12,V12-R025,,,83.93,,,,,33,regular
row,V12,V12-R026,,,58.76,,,,,22,regular
row,V12,V12-R027,,,64.33,,,,,23,disrupted
row,V12,V12-R028,,,84.57,,,,,36,disrupted
row,V12,V12-R029,,,168.24,,,,,71,disrupted
row,V12,V12-R030,,,257.89,,,,,109,disrupted
row,V12,V12-R031,,,30.29,,,,,13,regular
row,V12,V12-R032,,,1.49,,,,,1,regular
row,V12,V12-R033,,,193.03,,,,,78,disrupted
row,V12,V12-R034,,,59.45,,,,,25,regular
row,V12,V12-R035,,,263.42,,,,,107,disrupted
row,V12,V12-R036,,,28.56,,,,,10,regular
row,V12,V12-R037,,,269.69,,,,,108,disrupted
row,V12,V12-R038,,,28.47,,,,,8,regular
row,V12,V12-R039,,,275.24,,,,,113,disrupted
row,V12,V12-R040,,,26.34,,,,,14,regular
row,V12,V12-R041,,,281.60,,,,,128,disrupted
row,V12,V12-R042,,,25.79,,,,,9,regular
row,V12,V12-R043,,,29.66,,,,,14,regular
row,V12,V12-R044,,,281.51,,,,,114,disrupted
row,V12,V12-R045,,,99.42,,,,,35,regular
row,V12,V12-R046,,,22.49,,,,,12,regular
row,V12,V12-R047,,,193.46,,,,,73,disrupted
row,V12,V12-R048,,,292.76,,,,,118,disrupted
row,V12,V12-R049,,,21.40,,,,,6,regular
row,V12,V12-R050,,,101.03,,,,,35,regular
row,V12,V12-R051,,,20.26,,,,,7,regular
row,V12,V12-R052,,,187.22,,,,,68,disrupted
row,V12,V12-R053,,,101.86,,,,,42,regular
row,V12,V12-R054,,,19.69,,,,,8,regular
row,V12,V12-R055,,,188.64,,,,,77,disrupted
row,V12,V12-R056,,,296.33,,,,,131,disrupted
row,V12,V12-R057,,,104.34,,,,,42,regular
row,V12,V12-R058,,,64.68,,,,,30,regular
row,V12,V12-R059,,,128.54,,,,,54,disrupted
row,V12,V12-R060,,,78.09,,,,,33,regular
row,V12,V12-R061,,,34.35,,,,,15,regular
row,V12,V12-R062,,,159.03,,,,,65,disrupted
row,V12,V12-R063,,,58.89,,,,,25,regular
row,V12,V12-R064,,,192.99,,,,,82,disrupted
row,V12,V12-R065,,,64.17,,,,,26,regular
row,V12,V12-R066,,,128.22,,,,,49,regular
row,V12,V12-R067,,,64.87,,,,,25,regular
row,V12,V12-R068,,,81.80,,,,,30,disrupted
row,V12,V12-R069,,,91.83,,,,,39,disrupted
row,V12,V12-R070,,,47.91,,,,,25,regular
row,V12,V12-R071,,,34.31,,,,,18,regular
row,V12,V12-R072,,,99.57,,,,,44,disrupted
row,V12,V12-R073,,,119.04,,,,,52,disrupted
row,V12,V12-R074,,,28.56,,,,,10,regular
row,V12,V12-R075,,,267.36,,,,,110,disrupted
row,V12,V12-R076,,,266.42,,,,,98,disrupted
row,V12,V12-R077,,,258.47,,,,,109,disrupted
row,V12,V12-R078,,,57.78,,,,,22,disrupted
row,V12,V12-R079,,,199.53,,,,,81,disrupted
row,V12,V12-R080,,,258.67,,,,,109,disrupted
row,V12,V12-R081,,,257.23,,,,,96,disrupted
row,V12,V12-R082,,,193.05,,,,,76,disrupted
row,V12,V12-R083,,,64.36,,,,,23,regular
row,V12,V12-R084,,,231.60,,,,,86,disrupted
row,V12,V12-R085,,,25.68,,,,,11,regular
row,V12,V12-R086,,,192.63,,,,,83,disrupted
row,V12,V12-R087,,,64.21,,,,,29,regular
row,V12,V12-R088,,,249.64,,,,,103,disrupted
row,V12,V12-R089,,,116.25,,,,,45,disrupted
row,V12,V12-R090,,,128.75,,,,,50,regular
row,V12,V12-R091,,,239.78,,,,,92,disrupted
row,V12,V12-R092,,,250.81,,,,,87,disrupted
row,V12,V12-R093,,,51.63,,,,,13,disrupted
row,V12,V12-R094,,,159.83,,,,,70,disrupted
row,V12,V12-R095,,,226.37,,,,,70,disrupted
row,V12,V12-R096,,,1.82,,,,,0,regular
row,V12,V12-R097,,,36.63,,,,,6,disrupted
row,V12,V12-R098,,,16.13,,,,,1,regular
row,V12,V12-R099,,,64.56,,,,,6,regular
row,V12,V12-R100,,,31.16,,,,,1,regular
row,V13,V13-R001,,,12.39,,,,,3,regular
row,V13,V13-R002,,,17.81,,,,,4,regular
row,V13,V13-R003,,,27.78,,,,,1,regular
row,V14,V14-R001,,,61.90,,,,,3,regular
row,V14,V14-R002,,,11.84,,,,,2,disrupted
row,V14,V14-R003,,,64.10,,,,,13,regular
row,V14,V14-R004,,,68.04,,,,,17,regular
row,V14,V14-R005,,,57.68,,,,,12,disrupted
row,V14,V14-R006,,,3.24,,,,,1,regular
row,V14,V14-R007,,,14.29,,,,,4,regular
row,V14,V14-R008,,,80.53,,,,,13,disrupted
row,V14,V14-R009,,,48.40,,,,,10,disrupted
row,V14,V14-R010,,,85.07,,,,,4,disrupted
row,V14,V14-R011,,,42.49,,,,,2,regular
row,V14,V14-R012,,,119.64,,,,,6,regular
row,V14,V14-R013,,,113.65,,,,,8,regular
row,V14,V14-R014,,,4.25,,,,,2,regular
row,V14,V14-R015,,,43.28,,,,,3,regular
row,V14,V14-R016,,,64.45,,,,,2,regular
row,V14,V14-R017,,,15.02,,,,,3,regular
row,V14,V14-R018,,,19.86,,,,,1,regular
row,V14,V14-R019,,,101.51,,,,,10,regular
row,V14,V14-R020,,,65.13,,,,,8,regular
row,V14,V14-R021,,,64.98,,,,,4,regular
row,V14,V14-R022,,,38.94,,,,,7,disrupted
row,V14,V14-R023,,,36.16,,,,,5,regular
row,V14,V14-R024,,,64.60,,,,,8,regular
row,V14,V14-R025,,,8.06,,,,,2,regular
row,V14,V14-R026,,,51.60,,,,,6,disrupted
row,V14,V14-R027,,,283.92,,,,,92,regular
row,V14,V14-R028,,,333.80,,,,,78,disrupted
row,V14,V14-R029,,,20.24,,,,,1,regular
row,V14,V14-R030,,,328.53,,,,,83,disrupted
row,V14,V14-R031,,,23.11,,,,,3,regular
row,V14,V14-R032,,,318.45,,,,,66,disrupted
row,V14,V14-R033,,,249.50,,,,,82,regular
row,V14,V14-R034,,,64.41,,,,,15,regular
row,V14,V14-R035,,,60.07,,,,,10,regular
row,V14,V14-R036,,,62.12,,,,,17,regular
row,V14,V14-R037,,,64.69,,,,,22,regular
row,V14,V14-R038,,,26.13,,,,,7,regular
row,V14,V14-R039,,,37.93,,,,,2,regular
row,V14,V14-R040,,,125.04,,,,,11,regular
row,V14,V14-R041,,,64.77,,,,,23,disrupted
row,V14,V14-R042,,,46.66,,,,,9,disrupted
row,V14,V14-R043,,,10.28,,,,,1,disrupted
row,V14,V14-R044,,,134.50,,,,,23,disrupted
row,V14,V14-R045,,,46.21,,,,,11,disrupted
row,V14,V14-R046,,,17.17,,,,,2,regular
row,V14,V14-R047,,,4.06,,,,,2,regular
row,V14,V14-R048,,,32.96,,,,,8,disrupted
row,V14,V14-R049,,,109.99,,,,,19,disrupted
row,V14,V14-R050,,,10.70,,,,,4,regular
row,V14,V14-R051,,,33.01,,,,,3,disrupted
row,V14,V14-R052,,,49.97,,,,,7,disrupted
row,V14,V14-R053,,,98.68,,,,,13,disrupted
row,V14,V14-R054,,,44.83,,,,,1,regular
row,V15,V15-R001,,,3.38,,,,,1,regular
row,V15,V15-R002,,,6.02,,,,,2,regular
row,V15,V15-R003,,,19.07,,,,,5,regular
row,V16,V16-R001,,,6.15,,,,,2,regular
row,V16,V16-R002,,,11.84,,,,,2,regular
row,V16,V16-R003,,,21.25,,,,,5,regular
row,V17,V17-R001,,,35.70,,,,,11,disrupted
row,V17,V17-R002,,,28.61,,,,,2,disrupted
row,V17,V17-R003,,,20.91,,,,,4,disrupted
row,V17,V17-R004,,,14.00,,,,,2,disrupted
row,V18,V18-R001,,,9.35,,,,,0,disrupted
row,V18,V18-R002,,,16.54,,,,,0,disrupted
row,V18,V18-R003,,,24.24,,,,,2,disrupted
row,V18,V18-R004,,,27.39,,,,,3,disrupted
row,V18,V18-R005,,,35.57,,,,,8,disrupted
row,V19,V19-R001,,,25.88,,,,,5,regular
row,V19,V19-R002,,,33.66,,,,,3,regular
row,V19,V19-R003,,,49.69,,,,,7,regular
row,V19,V19-R004,,,57.68,,,,,10,regular
row,V20,V20-R001,,,55.78,,,,,11,regular
